"","id","sex","age","video.game.hrs.wk","own.robot","robot","vas","male","child"
"12.d.K.bot",12,"M",48,0,"Y","d.K.bot",53,1,FALSE
"13.d.K.bot",13,"F",32,0,"Y","d.K.bot",-72,0,FALSE
"14.d.K.bot",14,"F",51,0,"Y","d.K.bot",-35,0,FALSE
"15.d.K.bot",15,"M",14,2,"Y","d.K.bot",-75,1,TRUE
"16.d.K.bot",16,"F",50,0,"Y","d.K.bot",-7,0,FALSE
"17.d.K.bot",17,"F",44,0,"Y","d.K.bot",-34,0,FALSE
"22.d.K.bot",22,"F",33,0,"Y","d.K.bot",-9,0,FALSE
"23.d.K.bot",23,"F",13,0,"Y","d.K.bot",-15,0,TRUE
"27.d.K.bot",27,"M",12,10,"Y","d.K.bot",2,1,TRUE
"28.d.K.bot",28,"M",44,0.25,"Y","d.K.bot",16,1,FALSE
"33.d.K.bot",33,"F",48,0,"Y","d.K.bot",-25,0,FALSE
"37.d.K.bot",37,"F",52,0.5,"Y","d.K.bot",-18,0,FALSE
"40.d.K.bot",40,"F",54,0,"Y","d.K.bot",-34,0,FALSE
"43.d.K.bot",43,"M",10,16,"Y","d.K.bot",-41,1,TRUE
"49.d.K.bot",49,"F",11,5,"Y","d.K.bot",-75,0,TRUE
"1.c.Big.Lips",1,"M",39,0,"N","c.Big.Lips",-23,1,FALSE
"3.c.Big.Lips",3,"M",56,0,"N","c.Big.Lips",-10,1,FALSE
"4.c.Big.Lips",4,"F",32,0.25,"N","c.Big.Lips",-7,0,FALSE
"5.c.Big.Lips",5,"M",44,0,"N","c.Big.Lips",-4,1,FALSE
"6.c.Big.Lips",6,"M",45,0,"N","c.Big.Lips",-38,1,FALSE
"7.c.Big.Lips",7,"F",26,0,"N","c.Big.Lips",-26,0,FALSE
"8.c.Big.Lips",8,"F",61,0,"N","c.Big.Lips",35,0,FALSE
"9.c.Big.Lips",9,"M",13,10,"N","c.Big.Lips",-10,1,TRUE
"10.c.Big.Lips",10,"F",44,0,"N","c.Big.Lips",25,0,FALSE
"18.c.Big.Lips",18,"F",12,0,"N","c.Big.Lips",-16,0,TRUE
"19.c.Big.Lips",19,"M",21,25,"N","c.Big.Lips",8,1,FALSE
"20.c.Big.Lips",20,"F",66,0,"N","c.Big.Lips",74,0,FALSE
"21.c.Big.Lips",21,"F",47,0,"N","c.Big.Lips",-61,0,FALSE
"24.c.Big.Lips",24,"F",13,3.5,"N","c.Big.Lips",0,0,TRUE
"25.c.Big.Lips",25,"M",46,0,"N","c.Big.Lips",48,1,FALSE
"26.c.Big.Lips",26,"F",46,0,"N","c.Big.Lips",18,0,FALSE
"29.c.Big.Lips",29,"F",35,0,"N","c.Big.Lips",-8,0,FALSE
"30.c.Big.Lips",30,"M",48,0,"N","c.Big.Lips",-58,1,FALSE
"31.c.Big.Lips",31,"F",41,0,"N","c.Big.Lips",-15,0,FALSE
"32.c.Big.Lips",32,"M",44,0,"N","c.Big.Lips",34,1,FALSE
"34.c.Big.Lips",34,"M",46,0,"N","c.Big.Lips",-14,1,FALSE
"35.c.Big.Lips",35,"F",52,0,"N","c.Big.Lips",-7,0,FALSE
"36.c.Big.Lips",36,"F",43,0,"N","c.Big.Lips",-67,0,FALSE
"38.c.Big.Lips",38,"F",69,0,"N","c.Big.Lips",61,0,FALSE
"39.c.Big.Lips",39,"M",76,0,"N","c.Big.Lips",66,1,FALSE
"41.c.Big.Lips",41,"M",33,0.5,"N","c.Big.Lips",-35,1,FALSE
"42.c.Big.Lips",42,"M",14,12,"N","c.Big.Lips",-36,1,TRUE
"44.c.Big.Lips",44,"F",46,0,"N","c.Big.Lips",-46,0,FALSE
"45.c.Big.Lips",45,"F",46,0,"N","c.Big.Lips",-25,0,FALSE
"46.c.Big.Lips",46,"F",12,0,"N","c.Big.Lips",-22,0,TRUE
"47.c.Big.Lips",47,"M",54,0,"N","c.Big.Lips",-64,1,FALSE
"48.c.Big.Lips",48,"F",47,0,"N","c.Big.Lips",12,0,FALSE
"50.c.Big.Lips",50,"M",14,10,"N","c.Big.Lips",-79,1,TRUE
"51.c.Big.Lips",51,"M",11,1,"N","c.Big.Lips",-44,1,TRUE
"52.c.Big.Lips",52,"F",13,3,"N","c.Big.Lips",-9,0,TRUE
"2.c.Big.Lips",2,"F",52,0,"Y","c.Big.Lips",8,0,FALSE
"11.c.Big.Lips",11,"F",13,0,"Y","c.Big.Lips",-75,0,TRUE
"12.c.Big.Lips",12,"M",48,0,"Y","c.Big.Lips",44,1,FALSE
"13.c.Big.Lips",13,"F",32,0,"Y","c.Big.Lips",-75,0,FALSE
"14.c.Big.Lips",14,"F",51,0,"Y","c.Big.Lips",-36,0,FALSE
"15.c.Big.Lips",15,"M",14,2,"Y","c.Big.Lips",0,1,TRUE
"16.c.Big.Lips",16,"F",50,0,"Y","c.Big.Lips",3,0,FALSE
"17.c.Big.Lips",17,"F",44,0,"Y","c.Big.Lips",-62,0,FALSE
"22.c.Big.Lips",22,"F",33,0,"Y","c.Big.Lips",-57,0,FALSE
"23.c.Big.Lips",23,"F",13,0,"Y","c.Big.Lips",-32,0,TRUE
"27.c.Big.Lips",27,"M",12,10,"Y","c.Big.Lips",29,1,TRUE
"28.c.Big.Lips",28,"M",44,0.25,"Y","c.Big.Lips",38,1,FALSE
"33.c.Big.Lips",33,"F",48,0,"Y","c.Big.Lips",-55,0,FALSE
"37.c.Big.Lips",37,"F",52,0.5,"Y","c.Big.Lips",61,0,FALSE
"40.c.Big.Lips",40,"F",54,0,"Y","c.Big.Lips",44,0,FALSE
"43.c.Big.Lips",43,"M",10,16,"Y","c.Big.Lips",-17,1,TRUE
"49.c.Big.Lips",49,"F",11,5,"Y","c.Big.Lips",-77,0,TRUE
